2002-02-27 15:40:17,007	mayra	aaadvqUJOuqRb8	login	wily coyote	null	null	24-240-231-215.hsacorp.net	24.240.231.215	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 17:19:11,188	mayra	aaa45YrEzsU7YX	login	wily coyote	null	null	w020.z067105182.was-dc.dsl.cnc.net	67.105.182.20	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 17:20:38,650	mayra	aaa45YrEzsU7YX	logout	wily coyote	null	null	w020.z067105182.was-dc.dsl.cnc.net	67.105.182.20	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 17:21:11,356	mayra	aaa45YrEzsU7YX	login	wily coyote	null	null	w020.z067105182.was-dc.dsl.cnc.net	67.105.182.20	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 17:23:17,341	mayra	aaa45YrEzsU7YX	logout	wily coyote	null	null	w020.z067105182.was-dc.dsl.cnc.net	67.105.182.20	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 17:23:24,145	mayra	aaa45YrEzsU7YX	login	null	null	null	w020.z067105182.was-dc.dsl.cnc.net	67.105.182.20	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 17:25:59,250	mayra	aaa45YrEzsU7YX	logout	null	null	null	w020.z067105182.was-dc.dsl.cnc.net	67.105.182.20	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 17:26:23,035	mayra	aaa45YrEzsU7YX	login	wily coyote	null	null	w020.z067105182.was-dc.dsl.cnc.net	67.105.182.20	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 17:27:03,587	mayra	aaa45YrEzsU7YX	logout	wily coyote	null	null	w020.z067105182.was-dc.dsl.cnc.net	67.105.182.20	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 17:27:36,451	mayra	aaa45YrEzsU7YX	login	wily coyote	null	null	w020.z067105182.was-dc.dsl.cnc.net	67.105.182.20	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 17:28:21,513	mayra	aaa45YrEzsU7YX	logout	wily coyote	null	null	w020.z067105182.was-dc.dsl.cnc.net	67.105.182.20	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 17:28:28,333	mayra	aaa45YrEzsU7YX	login	null	null	null	w020.z067105182.was-dc.dsl.cnc.net	67.105.182.20	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 17:29:25,799	mayra	aaa45YrEzsU7YX	logout	null	null	null	w020.z067105182.was-dc.dsl.cnc.net	67.105.182.20	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-27 17:29:39,324	mayra	aaa45YrEzsU7YX	login	wily coyote	null	null	w020.z067105182.was-dc.dsl.cnc.net	67.105.182.20	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-28 03:19:53,725	mayra	aaadvqUJOuqRb8	login	wily coyote	null	null	24-240-231-215.hsacorp.net	24.240.231.215	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-28 23:58:59,360	mayra	aaahwjWZr6DQCz	login	null	null	null	192.168.1.1	192.168.1.1	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-03-01 00:04:42,380	mayra	aaahwjWZr6DQCz	logout	null	null	null	192.168.1.1	192.168.1.1	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-03-01 00:06:31,080	mayra	aaahwjWZr6DQCz aaahwjWZr6DQCz	login	wily coyote	null	null	192.168.1.1	192.168.1.1	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
